symbol,bids,asks,timestamp,Mid_Price,Quoted_Spread,First_Layer_Liquidity
ETHBTC,"[['0.06249000', '13.00500000']]",[],1693386292295,,,
ETHBTC,"[['0.06257000', '18.23660000'], ['0.06256000', '40.38560000'], ['0.06255000', '46.43230000'], ['0.06254000', '42.68200000'], ['0.06253000', '19.19370000'], ['0.06252000', '22.50420000'], ['0.06250000', '94.71600000'], ['0.06248000', '22.59920000'], ['0.06246000', '83.60960000'], ['0.06238000', '5.53800000'], ['0.05631000', '0.87330000']]","[['0.06258000', '83.51780000']]",1693386293295,0.06257499999999999,9.999999999996123e-06,101.75439999999999
ETHBTC,"[['0.06254000', '43.26400000'], ['0.06253000', '45.66120000'], ['0.06238000', '8.53800000'], ['0.06094000', '2.31570000']]","[['0.06313000', '3.24920000']]",1693386294295,0.062835,0.0005900000000000072,46.513200000000005
ETHBTC,"[['0.06257000', '18.23150000'], ['0.06256000', '40.85730000'], ['0.06255000', '47.43230000'], ['0.06254000', '47.13650000'], ['0.06250000', '89.84530000']]",[],1693386297295,,,
ETHBTC,"[['0.06241000', '12.81180000'], ['0.06235000', '4.05520000'], ['0.06157000', '24.33570000']]","[['0.06269000', '0.12740000'], ['0.06297000', '5.29800000']]",1693386298295,0.06255,0.00027999999999999553,12.9392
ETHBTC,"[['0.06162000', '7.25640000'], ['0.06157000', '24.33400000'], ['0.06152000', '26.38390000']]","[['0.06260000', '30.90080000'], ['0.06313000', '2.24920000']]",1693386299295,0.06211,0.0009800000000000017,38.1572
ETHBTC,"[['0.06238000', '8.53800000'], ['0.06157000', '24.33400000']]","[['0.06313000', '3.24920000']]",1693386300295,0.062755,0.0007500000000000076,11.7872
ETHBTC,"[['0.06157000', '24.33570000']]",[],1693386301295,,,
ETHBTC,"[['0.06241000', '65.90980000'], ['0.06157000', '24.33400000']]","[['0.06258000', '82.51780000'], ['0.06259000', '87.79810000'], ['0.06269000', '37.02940000']]",1693386302295,0.062494999999999995,0.00016999999999999654,148.42759999999998
ETHBTC,"[['0.06257000', '21.96980000'], ['0.06256000', '44.90570000'], ['0.06255000', '45.42570000'], ['0.06254000', '67.92660000'], ['0.06253000', '19.19370000'], ['0.06238000', '12.31900000']]",[],1693386303296,,,
ETHBTC,"[['0.06111000', '1.37890000']]",[],1693386304296,,,
ETHBTC,"[['0.06111000', '137.76180000']]",[],1693386305296,,,
ETHBTC,"[['0.06257000', '18.23150000'], ['0.06254000', '41.31340000'], ['0.06253000', '47.38870000']]","[['0.06258000', '80.91990000']]",1693386307296,0.06257499999999999,9.999999999996123e-06,99.1514
ETHBTC,"[['0.05631000', '0.87330000']]","[['0.06448000', '4.55510000']]",1693386308296,0.060395,0.008169999999999997,5.4284
ETHBTC,"[['0.06255000', '45.44440000'], ['0.06254000', '41.29370000'], ['0.06253000', '48.01850000'], ['0.06241000', '12.81180000'], ['0.06238000', '12.31900000'], ['0.06235000', '4.05520000']]","[['0.06258000', '80.91990000'], ['0.06259000', '87.77790000'], ['0.06260000', '30.92220000'], ['0.06269000', '0.12740000'], ['0.06297000', '5.29800000'], ['0.06313000', '3.24920000']]",1693386310296,0.062565,3.0000000000002247e-05,126.3643
ETHBTC,"[['0.06247000', '133.42320000'], ['0.06201000', '45.96220000'], ['0.06157000', '24.33400000']]","[['0.06258000', '79.42940000'], ['0.06266000', '36.50480000'], ['0.06267000', '70.59240000']]",1693386311296,0.062525,0.00010999999999999899,212.8526
ETHBTC,"[['0.06257000', '18.08580000'], ['0.06254000', '42.07720000'], ['0.06201000', '45.97520000']]","[['0.06258000', '78.42940000'], ['0.06259000', '88.77790000']]",1693386312296,0.06257499999999999,9.999999999996123e-06,96.5152
ETHBTC,"[['0.06256000', '44.43400000'], ['0.06248000', '22.67980000']]","[['0.06258000', '78.41370000']]",1693386313296,0.06257,1.9999999999992246e-05,122.8477
ETHBTC,"[['0.06257000', '21.08580000'], ['0.06256000', '41.17490000'], ['0.06254000', '42.07720000'], ['0.06253000', '48.28820000'], ['0.06241000', '65.90980000']]","[['0.06258000', '78.41370000'], ['0.06269000', '37.02940000'], ['0.06278000', '3.13260000'], ['0.06293000', '2.41190000']]",1693386314296,0.06257499999999999,9.999999999996123e-06,99.49950000000001
ETHBTC,"[['0.06254000', '42.84550000'], ['0.06253000', '47.51990000']]",[],1693386316296,,,
ETHBTC,"[['0.06176000', '7.88530000']]",[],1693386317296,,,
ETHBTC,[],"[['0.06258000', '78.06370000']]",1693386318296,,,
ETHBTC,"[['0.06257000', '21.07800000'], ['0.06205000', '4.82900000'], ['0.06176000', '8.22470000']]",[],1693386319296,,,
ETHBTC,"[['0.06235000', '4.05520000'], ['0.06206000', '6.89300000'], ['0.06157000', '24.33570000']]","[['0.06258000', '76.46580000'], ['0.06297000', '5.29800000']]",1693386321296,0.062465,0.0002299999999999941,80.521
ETHBTC,"[['0.06255000', '45.61660000'], ['0.06254000', '42.84550000'], ['0.06241000', '12.81180000'], ['0.06157000', '24.33400000']]","[['0.06258000', '71.96580000'], ['0.06269000', '0.12740000']]",1693386322296,0.062565,3.0000000000002247e-05,117.5824
ETHBTC,"[['0.05631000', '0.87330000']]","[['0.06258000', '71.94990000']]",1693386323297,0.059445,0.006269999999999998,72.8232
ETHBTC,"[['0.06157000', '24.33400000']]","[['0.06260000', '28.62220000'], ['0.06261000', '49.18580000']]",1693386324297,0.062085,0.0010300000000000031,52.956199999999995
ETHBTC,"[['0.06241000', '65.90980000'], ['0.06157000', '24.33400000']]","[['0.06269000', '37.02940000']]",1693386325297,0.06255,0.00027999999999999553,102.9392
ETHBTC,"[['0.06257000', '18.07800000'], ['0.06256000', '44.18550000'], ['0.06255000', '45.61660000'], ['0.06238000', '12.31900000'], ['0.06112000', '2.69870000']]","[['0.06258000', '73.54780000'], ['0.06266000', '33.33370000']]",1693386326297,0.06257499999999999,9.999999999996123e-06,91.6258
ETHBTC,"[['0.06256000', '44.64420000'], ['0.06251000', '44.03370000'], ['0.06250000', '87.34800000']]","[['0.06261000', '49.18580000'], ['0.06262000', '24.57100000'], ['0.06263000', '40.92600000'], ['0.06269000', '39.81940000']]",1693386327297,0.062585,4.999999999999449e-05,93.83
ETHBTC,[],"[['0.06258000', '73.54780000']]",1693386328297,,,
ETHBTC,"[['0.06157000', '24.33570000'], ['0.06112000', '2.73800000']]",[],1693386329297,,,
ETHBTC,"[['0.06157000', '24.33400000']]","[['0.06258000', '73.54780000']]",1693386330297,0.062075,0.001009999999999997,97.8818
ETHBTC,"[['0.06235000', '4.05520000']]","[['0.06258000', '71.94990000'], ['0.06297000', '5.29800000']]",1693386331297,0.062465,0.0002299999999999941,76.0051
ETHBTC,[],"[['0.06258000', '73.54780000']]",1693386332297,,,
ETHBTC,[],"[['0.06349000', '19.54010000'], ['0.06350000', '253.13240000']]",1693386333297,,,
ETHBTC,"[['0.06241000', '12.81180000'], ['0.06157000', '24.33570000']]","[['0.06269000', '2.91740000']]",1693386334297,0.06255,0.00027999999999999553,15.7292
ETHBTC,"[['0.06257000', '21.14730000'], ['0.06256000', '41.63360000'], ['0.06157000', '24.33400000']]",[],1693386335297,,,
ETHBTC,"[['0.06157000', '24.33570000']]","[['0.06258000', '73.54780000']]",1693386336297,0.062075,0.001009999999999997,97.8835
ETHBTC,"[['0.06251000', '46.54980000'], ['0.06250000', '84.83190000'], ['0.06241000', '65.90980000'], ['0.06157000', '24.33400000']]","[['0.06262000', '22.05490000'], ['0.06263000', '43.44210000'], ['0.06269000', '39.81940000']]",1693386337297,0.062565,0.00010999999999999899,68.6047
ETHBTC,"[['0.05631000', '0.87330000']]","[['0.06261000', '49.18580000']]",1693386338297,0.05946,0.0063,50.0591
ETHBTC,"[['0.06256000', '44.03360000'], ['0.06255000', '43.21660000']]",[],1693386340297,,,
ETHBTC,"[['0.06256000', '58.57870000'], ['0.06254000', '28.30040000']]","[['0.06258000', '71.94990000']]",1693386341298,0.06257,1.9999999999992246e-05,130.52859999999998
ETHBTC,"[['0.06235000', '4.05520000']]","[['0.06297000', '5.29800000']]",1693386342298,0.06266,0.0006199999999999956,9.353200000000001
ETHBTC,"[['0.06256000', '44.03360000'], ['0.06255000', '57.76170000']]","[['0.06258000', '71.94990000']]",1693386343298,0.06257,1.9999999999992246e-05,115.98349999999999
ETHBTC,"[['0.06257000', '18.07800000'], ['0.06256000', '42.63360000'], ['0.06253000', '18.42540000'], ['0.06252000', '52.93480000']]","[['0.06258000', '79.64570000'], ['0.06259000', '54.49440000'], ['0.06260000', '58.32460000'], ['0.06261000', '19.48340000']]",1693386344298,0.06257499999999999,9.999999999996123e-06,97.72370000000001
ETHBTC,"[['0.06256000', '45.83420000']]","[['0.06258000', '80.64570000'], ['0.06259000', '87.77700000']]",1693386345298,0.06257,1.9999999999992246e-05,126.47990000000001
ETHBTC,"[['0.06256000', '45.37550000'], ['0.06255000', '57.58950000'], ['0.06254000', '27.51690000'], ['0.06253000', '48.88540000'], ['0.06252000', '22.50420000'], ['0.06241000', '12.81180000'], ['0.06157000', '24.33740000']]","[['0.06269000', '2.91740000']]",1693386346298,0.062625,0.00012999999999999123,48.2929
ETHBTC,"[['0.06157000', '24.33400000']]",[],1693386347298,,,
ETHBTC,"[['0.06157000', '24.33570000']]",[],1693386348298,,,
ETHBTC,"[['0.06253000', '18.42540000'], ['0.06252000', '53.05960000'], ['0.06157000', '24.33570000']]","[['0.06258000', '80.64570000']]",1693386349298,0.062555,4.999999999999449e-05,99.0711
ETHBTC,"[['0.06243000', '56.74380000'], ['0.06157000', '24.33400000']]","[['0.06270000', '134.92320000']]",1693386350298,0.06256500000000001,0.00027000000000000635,191.667
ETHBTC,"[['0.06253000', '49.01120000'], ['0.06252000', '22.50420000']]",[],1693386351298,,,
ETHBTC,"[['0.06235000', '4.05520000'], ['0.06157000', '24.33400000']]","[['0.06297000', '5.29800000']]",1693386352298,0.06266,0.0006199999999999956,9.353200000000001
ETHBTC,"[['0.06169000', '4.44030000'], ['0.06157000', '24.33400000']]",[],1693386353298,,,
ETHBTC,"[['0.05631000', '0.87330000']]",[],1693386354298,,,
ETHBTC,"[['0.06254000', '26.74860000'], ['0.06251000', '44.05250000']]","[['0.06261000', '18.58690000'], ['0.06263000', '40.94480000']]",1693386357298,0.06257499999999999,7.000000000000062e-05,45.335499999999996
ETHBTC,"[['0.06243000', '3.64580000']]","[['0.06270000', '98.02120000']]",1693386358298,0.06256500000000001,0.00027000000000000635,101.66699999999999
ETHBTC,"[['0.06248000', '22.59920000']]","[['0.06267000', '70.51300000'], ['0.06269000', '0.12740000']]",1693386359298,0.062575,0.00019000000000000267,93.1122
ETHBTC,"[['0.06256000', '45.84880000'], ['0.06253000', '47.12810000'], ['0.06248000', '22.67960000']]","[['0.06267000', '72.85970000']]",1693386360299,0.062615,0.00010999999999999899,118.7085
ETHBTC,"[['0.06243000', '56.74380000']]","[['0.06270000', '134.92320000']]",1693386361299,0.06256500000000001,0.00027000000000000635,191.667
